Gary Lewis & The Playboys,spotify:artist:0XTxadWXVyfB8eTIYOjMYj
The Lettermen,spotify:artist:3lzlUccNrekC1oFPCjNIOX
Roger Williams,spotify:artist:55CCS64lPz88twUDVquU1u
The Mills Brothers,spotify:artist:5v8bwWRbu7AI3YFhzoM6Ha
Dianne Reeves,spotify:artist:7nwrblOf59ulOiB6djwPVh
Gene Pitney,spotify:artist:3ap1NzHNV9QA1x1V6z3gSe
Mantovani & His Orchestra,spotify:artist:3PGs02KWzFHQQf1ZOcu5Ok
The Searchers,spotify:artist:4QmkLL9JOqM9dusHS1Hghe
Johnny Tillotson,spotify:artist:36msvw9B10rxW90NSQ2794
The Kingston Trio,spotify:artist:3qtcbDvdIgQOXkPbtRvBaQ
Al Bowlly,spotify:artist:6l3iPTof4l2D75Wawq9w7R
Bobby Rydell,spotify:artist:4hJTgr1adnhIkhmD9jLzd6
Duane Eddy,spotify:artist:1I5Cu7bqjkRg85idwYsD91
James Last,spotify:artist:5UyJW2eCOuXtyYftgbMxZG
Ferrante & Teicher,spotify:artist:17rSwcIT9qu1OybU1lReJB
Lena Horne,spotify:artist:2I6nP70ltmOHi6xjJUXHMe
Margaret Whiting,spotify:artist:5ZGDxHhju6eE8ja4IyGe87
Betty Carter,spotify:artist:6HB1MchEEMg40EisSJuenZ
Les Baxter,spotify:artist:35pV6EUbherudlvAftoueR
The Vogues,spotify:artist:0Ma8KxtvoIDSU5fHtuTS9F
Lloyd Price,spotify:artist:3iOE5ItEv5xr9fmKi7GNh2
The Boswell Sisters,spotify:artist:2mflSlnegn3rBmzsh08OcN
Al Martino,spotify:artist:7egNqIGRldMzifHoh8pib6
Franck Pourcel,spotify:artist:0HJyVBZnjRKDT4STU3rGzU
Shirley Horn,spotify:artist:0x9L9ChXVAf3hFOb0CbRmd
Irving Berlin,spotify:artist:32zXZpxwb2bq7oGzAhe1Ii
Nelson Riddle,spotify:artist:6PyGlGbMoNqkofF14K4BWb
Bobby Goldsboro,spotify:artist:5gPEo032lzARtzuVqJIm9o
Bix Beiderbecke,spotify:artist:3kfbYBrL3MCPAMUwKDRpc7
Helen Forrest,spotify:artist:5SguMzNsojVk03s64Ggzad
Billy Vaughn,spotify:artist:6ZzOIAEw7joAghyA80c6D0
Vic Damone,spotify:artist:4seoDLqmOLUf59y72WJP7g
Anita O'Day,spotify:artist:5QGnprJtpZmk3OiDqspPlB
The Seekers,spotify:artist:7dedWAqd0IKTdCiqiadUrV
Roger Whittaker,spotify:artist:6pgfx4K1p1kT0RewXjmLfk
Tex Beneke,spotify:artist:7e9843xr17L5hRYAti3dtG
Joe Williams,spotify:artist:7FMGtucexJvUxVz7scydEL
Guy Mitchell,spotify:artist:1YAtBHWaWzZnkaoSFHGTBV
The Pied Pipers,spotify:artist:5o8E07TcYqIefZpDejymAd
Nana Mouskouri,spotify:artist:6p7iFdv6Wn9iaS7AwVLvod
Lionel Hampton,spotify:artist:2PjgZkwAEk7UTin4jP6HLP
Peter And Gordon,spotify:artist:6lHC2EQMEMZiEmSfFloarn
Leroy Anderson,spotify:artist:5YhX2onn51M81v4dSZajlX
Hoagy Carmichael,spotify:artist:7j8I1aIBA9Z9bMy7mTwWKk
Brook Benton,spotify:artist:2ttm3uT0N1RN7vwKv1pQgh
Lawrence Welk,spotify:artist:2GMH35k5oLCjzYpn5HbaD8
Gerry & The Pacemakers,spotify:artist:3UmBeGyNwr4iDWi1vTxWi8
Sidney Bechet,spotify:artist:1RsmXc1ZqW3WBs9iwxiSwk
Spike Jones,spotify:artist:117YLv0bvUKDzQgaHwTF7b
Johnny Mercer,spotify:artist:5cBHm2CXrbncYIDzrxF4Vi
Percy Faith,spotify:artist:6unIK8JFrGemCge3NIUDKE
Susannah McCorkle,spotify:artist:0YmFjtGsr6KUo2XJOR9RSu
Dinah Shore,spotify:artist:73xrrv4ZrlpLi1q0Q34wiK
Etta Jones,spotify:artist:3CEdEF8RsuL3hAFJaujvr0
Gene Austin,spotify:artist:5iFJaXNEwdmI1PADAcM58d
Ronnie Aldrich,spotify:artist:6BFFrrIqdMOl43DIMc82jv
Acker Bilk,spotify:artist:5bdgb81IJMXag724quaNSA
The Brothers Four,spotify:artist:0nd3tsqHVtnAWBCQgwtbIz
Gene Krupa,spotify:artist:2YODXXiVE8ABc0TfihLOFj
Floyd Cramer,spotify:artist:6DQ6mdEhxCgHPqfX1niZZK
Mario Lanza,spotify:artist:6umNMJq7B8UdOVmwPV6PRL
Barry Gordon,spotify:artist:4NpjZ0T1tlmizIZdp0zPuk
The Shadows,spotify:artist:03hfAxVdAWj7kxDnSG0fLD
Chris Montez,spotify:artist:0QRgfCLzSR9GyCjXboWQTA
Robert Goulet,spotify:artist:6Qdqv5WM6z1WxWWjuuiogR
Pat Boone,spotify:artist:7fmKtIgmxqNEKjATioVNsu
The Swingle Singers,spotify:artist:1ZlFYysRdc6YaUH5FkxPl8
Al Hirt,spotify:artist:0TGsWvnbtExsbGUSWtXENE
Bert Kaempfert,spotify:artist:2s6JabvZdqVQhfOsaxCSFX
Jimmy Boyd,spotify:artist:0kJqBwZ3YBkEJNRcUC1ewZ
Keely Smith,spotify:artist:0vQqxnQk1G32RtjSAFq3z1
Frankie Laine,spotify:artist:3cgO5CdhEHKMxldjZlP5ix
Billy May,spotify:artist:45Z2ShPqr2p9ZgfkYhZUgq
Teresa Brewer,spotify:artist:2mPL4g4v9DS55zi6QctLbP
Tommy Edwards,spotify:artist:1ObAu0tz0NlOI6FNHTXchD
Stan Kenton,spotify:artist:27hSR8e34ZM5vj5fUFixyb
Slim Whitman,spotify:artist:5bO7gAKKIwHwhxdsCR1UN0
Harry James,spotify:artist:5MpELOfAiq7aIBTij30phD
Jimmy Scott,spotify:artist:5T7u5bYO62WTYOk5RBZwjo
Louis Jordan,spotify:artist:2nRbxpnBMMbtMBWH5QdqH2
The Tremeloes,spotify:artist:2VL8sLEJ6lHEwocjc1pN9w
Abbey Lincoln,spotify:artist:0A9p7WNA1VwxVyrjx92Z9F
Al Jolson,spotify:artist:197mLk2Z62k4tvGxDL1pOa
Liberace,spotify:artist:695gNCDVviH3s5ZYVs2VNK
Fletcher Henderson,spotify:artist:2ovJLSejirvJybNers2YG6
The Four Aces,spotify:artist:542GsScaNnc2Ed8yokKLsy
Mildred Bailey,spotify:artist:0LyTHMstvqKiSoqdnnjqix
Ethel Waters,spotify:artist:3INcDDCxVKMIQT6rfR7kud
The Four Lads,spotify:artist:3stlWzoChlEtbdZAz6CNC3
Billy J. Kramer,spotify:artist:3qL4moFMePG5zA87tLcCOM
Buddy Greco,spotify:artist:0tncOz6MVpy67IphfE6VHZ
Vaughn Monroe,spotify:artist:5TD3Mad384osX9K8DLkx7L
The McGuire Sisters,spotify:artist:6oXkzBf6bMupenvf4tKtmN
Billy Eckstine,spotify:artist:6htazaFMy8zs0f3sMtM2Pt
Jimmy Dorsey,spotify:artist:3xPpQCRiTBxgmL4PD8J5ek
